Rule,Description,FullSnippet,ErrorLines,Source
TestClassWithoutTestCases,"The class 'CalculatorTest' might be a test class, but it contains no test cases.","public class Calculator {
    public int subtract(int a, int b) {
        return a - b;
    }
}

@RequiredArgsConstructor
@RunWith(Parameterized.class)
class CalculatorTest {
    private final int x;
    private final int y;
    private final int z;
    private Calculator calculator;
 
    // Constructor is generated by lombok with @RequiredArgsConstructor
    // and accepts three parameters, x, y, and z

    @BeforeEach
    void setUp() {
        calculator = new Calculator();
    }

    @Test
    void testSubtract() {
        assertEquals(z, calculator.subtract(x, y));
    }
    
    /**
     * This method will pass each parameter into the constructor
     * of this test class. In this case, the testSubtract method
     * will be ran 4 times with each set of parameters.
     */
    @Parameterized.Parameters
    static Collection parameters() {
        return Arrays.asList(
            new Object[][] {
               {5, 3, 2},
               {10, 1, 9},
               {120, 40, 80},
               {1, 1, 0}
            }
        );
    }
}",class CalculatorTest {,StackOverflow
DoNotTerminateVM,System.exit() should not be used in J2EE/JEE apps,"public class Main {
    public static void keyPressed(KeyEvent e) {
        if (e.getKeyCode() == KeyEvent.VK_A) {
            System.exit(0);
        }
    }

    public static void main(String[] args) {
        JFrame GUI = new JFrame();
        GUI.setSize(300, 300);
        GUI.setLayout(null);
        GUI.setVisible(true);
        GUI.addKeyListener(new KeyAdapter() {
            @Override
            public void keyPressed(KeyEvent e) {
                Main.keyPressed(e);
            }
        });
    }
}",            System.exit(0);,StackOverflow
TestClassWithoutTestCases,"The class 'Test' might be a test class, but it contains no test cases.","class Test {
    String field2, field1, field3;

    public Test(String field1, String field2, String field3) {
        this.field1 = field1;
        this.field2 = field2;
        this.field3 = field3;
    }
}",class Test {,StackOverflow
AvoidFieldNameMatchingMethodName,Field isWhite has the same name as a method,"public static abstract class Piece extends JButton {
    private final boolean isWhite;
    private Point cell;

    public Piece(int x, int y, boolean isWhite) {
        cell = new Point(x, y);
        this.isWhite = isWhite;
    }

    public Point getCell() {
        return cell;
    }

    public boolean isWhite() {
        return isWhite;
    }

    public boolean canMoveTo(int toX, int toY) {
        return true;
    }
}",    private final boolean isWhite;,StackOverflow
AvoidFieldNameMatchingMethodName,Field isEnabled has the same name as a method,"public abstract class ToggledActionListener implements java.awt.event.ActionListener {

    private boolean isEnabled;

    public ToggledActionListener(){
        isEnabled = true;
    }

    public void setEnabled(boolean flag){
        isEnabled = flag;
    }

    public boolean isEnabled(){
        return  isEnabled;
    }

    @Override
    public final void actionPerformed(ActionEvent e) {
        if(isEnabled){
            runIfAllowed(e);
        }
    }

    abstract void runIfAllowed(ActionEvent e);
}",    private boolean isEnabled;,StackOverflow
NullAssignment,Assigning an Object to null is a code smell.  Consider refactoring.,"public class network_detector extends BroadcastReceiver {

    private AlertDialog dialog;

    @Override
    public void onReceive(Context context, Intent intent) {
         if (dialog != null) {
            boolean isConnected = networkClass.isConnectedToInternet(context);
            if (isConnected) {
                dialog.dismiss();
                dialog = null;
            } else if (!dialog.isShowing()) {
                showNoInternetDialog(context);
            }
        } else {
            showNoInternetDialog(context);
        }

}


    private void showNoInternetDialog(Context context) {
        View alertdialogView = LayoutInflater.from(context).inflate(R.layout.network_dialog, null);
        AlertDialog.Builder dialogBuilder = new AlertDialog.Builder(context);
        dialogBuilder.setView(alertdialogView);

        dialog = dialogBuilder.create();
        dialog.getWindow().setBackgroundDrawable(new ColorDrawable(Color.TRANSPARENT));

        dialog.setCancelable(false);
        dialog.show();
    }
}",                dialog = null;,StackOverflow
MissingSerialVersionUID,Classes implementing Serializable should set a serialVersionUID,"// MyCustomException.java
public class MyCustomException extends Exception {

  String errorReason;
  int errorCode;
  
  public MyCustomException(Throwable throwable, String errorReason, int errorCode) {
    super(errorReason, throwable);
    this.errorReason = errorReason;
    this.errorCode = errorCode;
  }
}",public class MyCustomException extends Exception {,StackOverflow
AvoidLiteralsInIfCondition,Avoid using literals in if statements,"private static class VariableLeadingParagraphRenderer extends ParagraphRenderer {
    public VariableLeadingParagraphRenderer(Paragraph modelElement) {
        super(modelElement);
    }

    @Override
    public LayoutResult layout(LayoutContext layoutContext) {
        setLeadingBasedOnPageNumber(layoutContext.getArea().getPageNumber());
        return super.layout(layoutContext);
    }

    private void setLeadingBasedOnPageNumber(int pageNumber) {
        if (pageNumber == 1) {
            this.setProperty(Property.LEADING, new Leading(Leading.FIXED, 100));
        } else {
            this.setProperty(Property.LEADING, new Leading(Leading.FIXED, 50));
        }
    }

    @Override
    public IRenderer getNextRenderer() {
        return new ParagraphRenderer((Paragraph) modelElement);
    }
}",        if (pageNumber == 1) {,StackOverflow
TestClassWithoutTestCases,"The class 'ApplicationTest' might be a test class, but it contains no test cases.","@Configuration
@SpringBootApplication
public class ApplicationTest {}",public class ApplicationTest {},StackOverflow
MissingSerialVersionUID,Classes implementing Serializable should set a serialVersionUID,"package de.scrum_master.stackoverflow.q74575745;

class WebClientException extends RuntimeException {
  public WebClientException(Throwable cause) {
    super(cause);
  }
}",class WebClientException extends RuntimeException {,StackOverflow
AvoidLiteralsInIfCondition,Avoid using literals in if statements,"package lol;

import static io.vavr.API.$;
import static io.vavr.API.Case;
import static io.vavr.API.Match;
import static io.vavr.API.run;
import static io.vavr.Patterns.$None;
import static io.vavr.Patterns.$Some;

import io.vavr.control.Option;

public class Lol {

  public static void main(String[] args) {
    String val = ""lol"";
    Match(Option.of(val)).of(
        Case($None(), () -> run(() -> {
          System.out.println(1);
          throw new IllegalArgumentException(""null"");
        })),
        Case($Some($(String::isEmpty)), () -> run(() -> {
          System.out.println(2);
          throw new IllegalArgumentException(""empty"");
        })),
        Case($(), () -> run(() -> {
          System.out.println(3);
          if (""lol"".equals(val)) {
            throw new IllegalArgumentException(""lol"");
          }
        }))
    )
    ;
  }
}","          if (""lol"".equals(val)) {",StackOverflow
CloseResource,Ensure that resources like this FileOutputStream object are closed after use,"import java.io.FileOutputStream;

import org.apache.poi.xslf.usermodel.*;
import org.apache.poi.sl.usermodel.*;

public class CreatePPTXNunberings {
    
 static void createBulletpointList(XSLFTextShape textShape, String[] items) {
  XSLFTextParagraph paragraph = null;
  XSLFTextRun run = null;
  double fontSize = 22d;
  double indent = 22d;
  for (String item : items) {
   paragraph = textShape.addNewTextParagraph();
   paragraph.setBullet(true); //XSLFTextParagraph.setBullet sets pPr too
   paragraph.getXmlObject().getPPr().setMarL(org.apache.poi.util.Units.toEMU(indent));
   paragraph.setIndent(-indent);
   run = paragraph.addNewTextRun();
   run.setFontSize(fontSize);
   run.setText(item);
  }   
 }
 
 static void createNumberedList(XSLFTextShape textShape, String[] items) {
  XSLFTextParagraph paragraph = null;
  XSLFTextRun run = null;
  double fontSize = 22d;
  double indent = 32d;
  for (String item : items) {
   paragraph = textShape.addNewTextParagraph();
   if (paragraph.getXmlObject().getPPr() == null) paragraph.getXmlObject().addNewPPr();
   if (paragraph.getXmlObject().getPPr().getBuAutoNum() == null) paragraph.getXmlObject().getPPr().addNewBuAutoNum();
   paragraph.getXmlObject().getPPr().getBuAutoNum().setType(org.openxmlformats.schemas.drawingml.x2006.main.STTextAutonumberScheme.ARABIC_PERIOD);
   paragraph.getXmlObject().getPPr().setMarL(org.apache.poi.util.Units.toEMU(indent));
   paragraph.setIndent(-indent);
   run = paragraph.addNewTextRun();
   run.setFontSize(fontSize);
   run.setText(item);
  }   
 }

 public static void main(String[] args) throws Exception {

  XMLSlideShow slideShow = new XMLSlideShow();
  
  XSLFSlide slide = slideShow.createSlide();
  
  XSLFTextShape textShape = slide.createAutoShape();
  java.awt.Rectangle rect = new java.awt.Rectangle(100, 100, 500, 300);
  textShape.setAnchor(rect.getBounds2D());
  textShape.setShapeType(ShapeType.RECT);

  XSLFTextParagraph paragraph = null;
  XSLFTextRun run = null;
  double fontSize = 22d;
  
  paragraph = textShape.addNewTextParagraph();
  run = paragraph.addNewTextRun();
  run.setFontSize(fontSize);
  run.setText(""Following is a bullet point list:"");
  
  createBulletpointList(textShape, 
   new String[]{""First list item"", ""Second list item, a little bit longer to show automatic line breaks"", ""Third list item""}
  );
  
  paragraph = textShape.addNewTextParagraph();
  
  paragraph = textShape.addNewTextParagraph();
  run = paragraph.addNewTextRun();
  run.setFontSize(fontSize);
  run.setText(""Following is a numbered list:"");
  
  createNumberedList(textShape, 
   new String[]{""First list item"", ""Second list item, a little bit longer to show automatic line breaks"", ""Third list item""}
  );

  FileOutputStream out = new FileOutputStream(""./CreatePPTXNunberings.pptx"");
  slideShow.write(out);
  out.close();
  slideShow.close();

 }
}","  FileOutputStream out = new FileOutputStream(""./CreatePPTXNunberings.pptx"");",StackOverflow
TestClassWithoutTestCases,"The class 'Test' might be a test class, but it contains no test cases.","public class Test {

    public static void main(String[] args) throws InterruptedException {

        Thread t = new Thread(() -> {
            while (!Thread.currentThread().isInterrupted()) {
                try {
                    System.out.println(""worker is sleeping"");
                    Thread.sleep(10000);
                } catch (InterruptedException e) {
                    // flag is cleared when exception is thrown,
                    //  and needs to be set again
                    Thread.currentThread().interrupt();
                }                
            }
            System.out.println(""worker terminating"");
        });
        t.start();
        System.out.println(""main thread sleeping"");
        Thread.sleep(1000);
        System.out.println(""main thread interrupts worker and waits for it to finish"");
        t.interrupt();
        t.join();
    }
}",public class Test {,StackOverflow
CloseResource,Ensure that resources like this FileOutputStream object are closed after use,"package pkg;

import java.io.FileDescriptor;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.PrintStream;
import java.nio.charset.StandardCharsets;

public class Main {

    public static void main(String[] args) throws IOException {
        
        String str = ""Â¿Ã¦ÅÃ©Ä°Ã¼ÅÃ¯ÄÅÄÃ¸""; // Sample data from the question.
        
        System.out.println(""1: "" + str); // Fails if default charset is not UTF-8.  

        // Redirect System.out to use a PrintStream using UTF-8 charset.
        FileOutputStream fos2 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps2 = new PrintStream(fos2, true, StandardCharsets.UTF_8);
        System.setOut(ps2);
        System.out.println(""2: "" + str); // Works.
        
        // Use your own PrintStream with UTF-8 charset instead of using System.out.
        FileOutputStream fos3 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps3 = new PrintStream(fos3, true, StandardCharsets.UTF_8);
        ps3.print(""3: "" + str); // Works.
        ps3.close();
    }
}",        FileOutputStream fos2 = new FileOutputStream(FileDescriptor.out);,StackOverflow
CloseResource,Ensure that resources like this PrintStream object are closed after use,"package pkg;

import java.io.FileDescriptor;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.PrintStream;
import java.nio.charset.StandardCharsets;

public class Main {

    public static void main(String[] args) throws IOException {
        
        String str = ""Â¿Ã¦ÅÃ©Ä°Ã¼ÅÃ¯ÄÅÄÃ¸""; // Sample data from the question.
        
        System.out.println(""1: "" + str); // Fails if default charset is not UTF-8.  

        // Redirect System.out to use a PrintStream using UTF-8 charset.
        FileOutputStream fos2 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps2 = new PrintStream(fos2, true, StandardCharsets.UTF_8);
        System.setOut(ps2);
        System.out.println(""2: "" + str); // Works.
        
        // Use your own PrintStream with UTF-8 charset instead of using System.out.
        FileOutputStream fos3 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps3 = new PrintStream(fos3, true, StandardCharsets.UTF_8);
        ps3.print(""3: "" + str); // Works.
        ps3.close();
    }
}","        PrintStream ps2 = new PrintStream(fos2, true, StandardCharsets.UTF_8);",StackOverflow
CloseResource,Ensure that resources like this FileOutputStream object are closed after use,"package pkg;

import java.io.FileDescriptor;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.PrintStream;
import java.nio.charset.StandardCharsets;

public class Main {

    public static void main(String[] args) throws IOException {
        
        String str = ""Â¿Ã¦ÅÃ©Ä°Ã¼ÅÃ¯ÄÅÄÃ¸""; // Sample data from the question.
        
        System.out.println(""1: "" + str); // Fails if default charset is not UTF-8.  

        // Redirect System.out to use a PrintStream using UTF-8 charset.
        FileOutputStream fos2 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps2 = new PrintStream(fos2, true, StandardCharsets.UTF_8);
        System.setOut(ps2);
        System.out.println(""2: "" + str); // Works.
        
        // Use your own PrintStream with UTF-8 charset instead of using System.out.
        FileOutputStream fos3 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps3 = new PrintStream(fos3, true, StandardCharsets.UTF_8);
        ps3.print(""3: "" + str); // Works.
        ps3.close();
    }
}",        FileOutputStream fos3 = new FileOutputStream(FileDescriptor.out);,StackOverflow
CloseResource,Ensure that resources like this PrintStream object are closed after use,"package pkg;

import java.io.FileDescriptor;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.PrintStream;
import java.nio.charset.StandardCharsets;

public class Main {

    public static void main(String[] args) throws IOException {
        
        String str = ""Â¿Ã¦ÅÃ©Ä°Ã¼ÅÃ¯ÄÅÄÃ¸""; // Sample data from the question.
        
        System.out.println(""1: "" + str); // Fails if default charset is not UTF-8.  

        // Redirect System.out to use a PrintStream using UTF-8 charset.
        FileOutputStream fos2 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps2 = new PrintStream(fos2, true, StandardCharsets.UTF_8);
        System.setOut(ps2);
        System.out.println(""2: "" + str); // Works.
        
        // Use your own PrintStream with UTF-8 charset instead of using System.out.
        FileOutputStream fos3 = new FileOutputStream(FileDescriptor.out);
        PrintStream ps3 = new PrintStream(fos3, true, StandardCharsets.UTF_8);
        ps3.print(""3: "" + str); // Works.
        ps3.close();
    }
}","        PrintStream ps3 = new PrintStream(fos3, true, StandardCharsets.UTF_8);",StackOverflow
CloseResource,Ensure that resources like this FileInputStream object are closed after use,"import java.io.FileInputStream;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.OutputStream;

import ar.com.hjg.pngj.FilterType;
import ar.com.hjg.pngj.ImageInfo;
import ar.com.hjg.pngj.PngWriter;

public class RGB1 {

public static void main(String[] args) throws IOException {

    final int CHUNK_SIZE = 134217728;
    final int SIDE = 5; // Dimensions hard coded to square 5 X 5, please change as needed

    byte[] buf = new byte[CHUNK_SIZE];

    int br, i,j,row=0;
    int[] arr = new int[SIDE*3];// 3 Bytes per pixel

    FileInputStream fileInputStream=new FileInputStream(""C:\\Don\\source.bin"");
    OutputStream os = new FileOutputStream(""C:\\Don\\dest.png"");

    ImageInfo imi = new ImageInfo(SIDE, SIDE, 8, false);

    PngWriter pngw = new PngWriter(os, imi);
    pngw.setCompLevel(9);// maximum compression
    pngw.setFilterType(FilterType.FILTER_ADAPTIVE_FAST); 
    //Please Refer https://github.com/leonbloy/pngj/blob/master/src/main/java/ar/com/hjg/pngj/FilterType.java

    br = fileInputStream.read(buf);
    j=0; 
    System.out.println(""Bytes Read: "" + br);
    while(br>0)
    {
        for(i=0;i<br;i++)
        {
            arr[j++] = buf[i] & 0xFF;

            if(j==SIDE*3)
            {
                pngw.writeRowInt(arr);

                j=0;
                row++;
                if(row==SIDE) break;
            }

        }
        if(row==SIDE) break;
        br = fileInputStream.read(buf);
        System.out.println(""Bytes Read: "" + br);
    }

    pngw.end();

    System.out.println(""Done."");
    fileInputStream.close();

}

}","    FileInputStream fileInputStream=new FileInputStream(""C:\\Don\\source.bin"");",StackOverflow
CloseResource,Ensure that resources like this FileOutputStream object are closed after use,"import java.io.FileInputStream;
import java.io.FileOutputStream;
import java.io.IOException;
import java.io.OutputStream;

import ar.com.hjg.pngj.FilterType;
import ar.com.hjg.pngj.ImageInfo;
import ar.com.hjg.pngj.PngWriter;

public class RGB1 {

public static void main(String[] args) throws IOException {

    final int CHUNK_SIZE = 134217728;
    final int SIDE = 5; // Dimensions hard coded to square 5 X 5, please change as needed

    byte[] buf = new byte[CHUNK_SIZE];

    int br, i,j,row=0;
    int[] arr = new int[SIDE*3];// 3 Bytes per pixel

    FileInputStream fileInputStream=new FileInputStream(""C:\\Don\\source.bin"");
    OutputStream os = new FileOutputStream(""C:\\Don\\dest.png"");

    ImageInfo imi = new ImageInfo(SIDE, SIDE, 8, false);

    PngWriter pngw = new PngWriter(os, imi);
    pngw.setCompLevel(9);// maximum compression
    pngw.setFilterType(FilterType.FILTER_ADAPTIVE_FAST); 
    //Please Refer https://github.com/leonbloy/pngj/blob/master/src/main/java/ar/com/hjg/pngj/FilterType.java

    br = fileInputStream.read(buf);
    j=0; 
    System.out.println(""Bytes Read: "" + br);
    while(br>0)
    {
        for(i=0;i<br;i++)
        {
            arr[j++] = buf[i] & 0xFF;

            if(j==SIDE*3)
            {
                pngw.writeRowInt(arr);

                j=0;
                row++;
                if(row==SIDE) break;
            }

        }
        if(row==SIDE) break;
        br = fileInputStream.read(buf);
        System.out.println(""Bytes Read: "" + br);
    }

    pngw.end();

    System.out.println(""Done."");
    fileInputStream.close();

}

}","    OutputStream os = new FileOutputStream(""C:\\Don\\dest.png"");",StackOverflow
