Source,Row_ID,Error_Code,Description,Full_Snippet,Error_Lines
StackOverflow,12,B607,Starting a process with a partial executable path,"import subprocess

def get_test_output():
    filepath = './cypress/integration/myproject/myscript.js'

    res = subprocess.run(
        ['echo', filepath],
        stdout=subprocess.PIPE,
        stderr=subprocess.STDOUT,
    )
    # In your case it will be:
    # res = subprocess.run(
    #     ['cypress', 'run', '--spec', filepath],
    #     stdout=subprocess.PIPE,
    #     stderr=subprocess.STDOUT,
    # )

    return res.stdout.decode()


if __name__ == '__main__':
    test_res = get_test_output()

    print(test_res)
    # =&gt; ./cypress/integration/myproject/myscript.js","[6, 7, 8, 9, 10]"
StackOverflow,12,B603,subprocess call - check for execution of untrusted input.,"import subprocess

def get_test_output():
    filepath = './cypress/integration/myproject/myscript.js'

    res = subprocess.run(
        ['echo', filepath],
        stdout=subprocess.PIPE,
        stderr=subprocess.STDOUT,
    )
    # In your case it will be:
    # res = subprocess.run(
    #     ['cypress', 'run', '--spec', filepath],
    #     stdout=subprocess.PIPE,
    #     stderr=subprocess.STDOUT,
    # )

    return res.stdout.decode()


if __name__ == '__main__':
    test_res = get_test_output()

    print(test_res)
    # =&gt; ./cypress/integration/myproject/myscript.js","[6, 7, 8, 9, 10]"
StackOverflow,13,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import pandas as pd
import numpy as np


# mock some data
a = np.random.random(12000)
df = pd.DataFrame({'col': np.random.randint(1, 5, 48)})

indices = (len(a) * df.col.to_numpy() / sum(df.col)).cumsum()
indices = np.concatenate(([0], indices)).round().astype(int)
res = []
for s, e in zip(indices[:-1], indices[1:]):
    res.append(a[round(s):round(e)])

# some tests
target_pcts = df.col.to_numpy() / sum(df.col)
realized_pcts = np.array([len(sl) / len(a) for sl in res])
diffs = target_pcts / realized_pcts
assert 0.99 &lt; np.min(diffs) and np.max(diffs) &lt; 1.01
assert all(np.concatenate([*res]) == a)",[19]
StackOverflow,13,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import pandas as pd
import numpy as np


# mock some data
a = np.random.random(12000)
df = pd.DataFrame({'col': np.random.randint(1, 5, 48)})

indices = (len(a) * df.col.to_numpy() / sum(df.col)).cumsum()
indices = np.concatenate(([0], indices)).round().astype(int)
res = []
for s, e in zip(indices[:-1], indices[1:]):
    res.append(a[round(s):round(e)])

# some tests
target_pcts = df.col.to_numpy() / sum(df.col)
realized_pcts = np.array([len(sl) / len(a) for sl in res])
diffs = target_pcts / realized_pcts
assert 0.99 &lt; np.min(diffs) and np.max(diffs) &lt; 1.01
assert all(np.concatenate([*res]) == a)",[20]
StackOverflow,14,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import numba as nb
import numpy as np

@nb.njit('(float64[::1], float64[::1], complex128[::1], complex128[::1])', parallel=True)
def compute(a1, a2, b, c):
    m, n = a1.size, a2.size
    assert n == m  # seems already mantatory in the initial code
    tmpDot = np.zeros(n, dtype=np.complex128)
    for i in nb.prange(n):
        for j in range(n):
            tmpDot[i] += np.exp(1j * (a2[j] * a1[i])) * b[j]
    return c * tmpDot

m = 100000
n = 100000
a1 = np.random.rand(m)
a2 = np.random.rand(n)
c = np.random.rand(m)+1j*np.random.rand(m)
b = np.random.rand(n)+1j*np.random.rand(n)
d = compute(a1, a2, b, c)",[7]
StackOverflow,17,B307,Use of possibly insecure function - consider using safer ast.literal_eval.,"import ast

code = '''extras_require={&quot;dev&quot;: dev_reqs}
x = 3
entry_points={
    &quot;console_scripts&quot;: [&quot;main=smamesdemo.run.main:main&quot;]
}'''

for node in ast.walk(ast.parse(code)):
    if isinstance(node, ast.Assign) and node.targets[0].id == 'entry_points':
        expr = ast.Expression(body=node.value)
        ast.fix_missing_locations(expr)
        entry_points = eval(compile(expr, filename='', mode='eval'))

print(entry_points)",[13]
StackOverflow,18,B404,Consider possible security implications associated with the subprocess module.,"import sys
import time
import logging
import threading
import multiprocessing
import subprocess

class MyHandler(logging.StreamHandler):
    def emit(self, record):
        time.sleep(0.1)
        super().emit(record)

logger = logging.getLogger()
logger.setLevel(logging.DEBUG)
handler = MyHandler()
formatter = logging.Formatter('%(asctime)s %(process)d %(thread)d %(message)s')
handler.setFormatter(formatter)
logger.addHandler(handler)

def thread_fn():
    logger.info('thread')
    logger.info('thread')

def process_fn():
    logger.info('child')
    logger.info('child')

t1 = threading.Thread(target=thread_fn)
t1.start()

p1 = multiprocessing.Process(target=process_fn)
p1.start()

# subprocess.Popen(args=['echo from shell'], shell=True, preexec_fn=process_fn)",[6]
StackOverflow,22,B401,A telnet-related module is being imported.  Telnet is considered insecure. Use SSH or some other encrypted protocol.,"import asyncio
import telnetlib3

async def shell(reader, writer):
    rules = [
            ('User:', 'admin'),
            ('Password:', 'secret'),
            (') &gt;', 'enable'),
            (') #', 'exit'),
            (') &gt;', 'logout'),
            ]

    ruleiter = iter(rules)
    expect, send = next(ruleiter)
    while True:
        outp = await reader.read(1024)
        if not outp:
            break

        if expect in outp:
            writer.write(send)
            writer.write('\r\n')
            try:
                expect, send = next(ruleiter)
            except StopIteration:
                break

        # display all server output
        print(outp, flush=True)

    # EOF
    print()

async def main():
    reader, writer = await telnetlib3.open_connection('office-sw-0', 23, shell=shell)
    await writer.protocol.waiter_closed


if __name__ == '__main__':
    asyncio.run(main())",[2]
StackOverflow,22,B604,"Function call with shell=True parameter identified, possible security issue.","import asyncio
import telnetlib3

async def shell(reader, writer):
    rules = [
            ('User:', 'admin'),
            ('Password:', 'secret'),
            (') &gt;', 'enable'),
            (') #', 'exit'),
            (') &gt;', 'logout'),
            ]

    ruleiter = iter(rules)
    expect, send = next(ruleiter)
    while True:
        outp = await reader.read(1024)
        if not outp:
            break

        if expect in outp:
            writer.write(send)
            writer.write('\r\n')
            try:
                expect, send = next(ruleiter)
            except StopIteration:
                break

        # display all server output
        print(outp, flush=True)

    # EOF
    print()

async def main():
    reader, writer = await telnetlib3.open_connection('office-sw-0', 23, shell=shell)
    await writer.protocol.waiter_closed


if __name__ == '__main__':
    asyncio.run(main())",[35]
StackOverflow,24,B102,Use of exec detected.,"import ast
import inspect
from textwrap import dedent

class ForceTuples(ast.NodeTransformer):
    def visit_List(self, node):
        return ast.Tuple(**vars(node))

    # remove 'force_tuples' from the function's decorator list to avoid re-decorating during exec
    def visit_FunctionDef(self, node):
        node.decorator_list = [
            decorator for decorator in node.decorator_list
            if not isinstance(decorator, ast.Name) or decorator.id != 'force_tuples'
        ]
        self.generic_visit(node)
        return node

def force_tuples(func):
    tree = ForceTuples().visit(ast.parse(dedent(inspect.getsource(func))))
    ast.fix_missing_locations(tree)
    scope = {}
    exec(compile(tree, inspect.getfile(func), 'exec'), func.__globals__, scope)
    return scope[func.__name__]",[22]
StackOverflow,25,B201,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.","from flask import Flask, render_template
from app1 import create_app as create_app1
from app2 import create_app as create_app2

server = Flask(__name__)
app1 = create_app1(server)
app2 = create_app2(server)


@server.route('/')
def index():
    return 'Main App'


def render_dashboard1():
    return render_template('dashboard1.html')


def render_dashboard2():
    return render_template('dashboard2.html')


if __name__ == '__main__':
    server.run(debug=True)",[24]
StackOverflow,26,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.","# The file token.pickle contains the user access token.
# Check if it exists
if os.path.exists('token.pickle'):

    # Read the token from the file and store it in the variable creds
    with open('token.pickle', 'rb') as token:
        creds = pickle.load(token)

# If credentials are not available or are invalid, ask the user to log in.
if not creds or not creds.valid:
    if creds and creds.expired and creds.refresh_token:
        creds.refresh(Request())
    else:
        flow = InstalledAppFlow.from_client_secrets_file('credentials.json', SCOPES)
        creds = flow.run_local_server(port=0)

    # Save the access token in token.pickle file for the next run
    with open('token.pickle', 'wb') as token:
        pickle.dump(creds, token)",[7]
StackOverflow,27,B113,Call to requests without timeout,"import pandas as pd
import requests

url = 'https://economic-calendar.tradingview.com/events'
today = pd.Timestamp.today().normalize()
payload = {
    'from': (today + pd.offsets.Hour(23)).isoformat() + '.000Z',
    'to': (today + pd.offsets.Day(7) + pd.offsets.Hour(22)).isoformat() + '.000Z',
    'countries': ','.join(['US', 'IN'])
}
data = requests.get(url, params=payload).json()
df = pd.DataFrame(data['result'])",[11]
StackOverflow,29,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import pytest


@pytest.fixture(autouse=True)
def zzzshould_happen_first():
    assert False


@pytest.fixture(autouse=True)
def should_happen_last(zzzshould_happen_first):
    assert False


def test_nothing():
    assert True",[6]
StackOverflow,29,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import pytest


@pytest.fixture(autouse=True)
def zzzshould_happen_first():
    assert False


@pytest.fixture(autouse=True)
def should_happen_last(zzzshould_happen_first):
    assert False


def test_nothing():
    assert True",[11]
StackOverflow,29,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import pytest


@pytest.fixture(autouse=True)
def zzzshould_happen_first():
    assert False


@pytest.fixture(autouse=True)
def should_happen_last(zzzshould_happen_first):
    assert False


def test_nothing():
    assert True",[15]
StackOverflow,30,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"os.environ['FILE_PATH'] = ...

def test_it_loads_data(set_env, data_raw, settings):
    assert settings.CONFIG == data_raw",[4]
StackOverflow,32,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"@numba.njit
def fast_power_method(A, v1, v2, v3):
    # Unpacking
    # Note: there is no need for a copy here
    u1, u2, u3 = v1, v2, v3
    A11, A12, A13 = A[0]
    A21, A22, A23 = A[1]
    A31, A32, A33 = A[2]

    for i in range(3_000):
        # Optimized matrix multiplication
        t1 = u1 * A11 + u2 * A12 + u3 * A13
        t2 = u1 * A21 + u2 * A22 + u3 * A23
        t3 = u1 * A31 + u2 * A32 + u3 * A33

        # Renormalization
        # Note: multiplications are faster than divisions
        norm = np.sqrt(t1**2 + t2**2 + t3**2)
        inv_norm = 1.0 / norm
        u1 = t1 * inv_norm
        u2 = t2 * inv_norm
        u3 = t3 * inv_norm

    return u1, u2, u3

@numba.njit
def iterate_grid(A, scale, sz):
    assert A.shape[0] == A.shape[1] == 3
    n = A.shape[0]

    results = np.empty((sz**3, n))
    tmp = np.linspace(-scale, scale, sz)

    for i1 in range(sz):
        v = np.empty(n, dtype=np.float64)
        v1 = tmp[i1]
        for i2, v2 in enumerate(tmp):
            for i3, v3 in enumerate(tmp):
                u1, u2, u3 = fast_power_method(A, v1, v2, v3)

                idx = i1 * sz**2 + i2 * sz + i3
                results[idx, 0] = u1
                results[idx, 1] = u2
                results[idx, 2] = u3
    
    return results",[28]
StackOverflow,35,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"MY_GLOB_VAR = False

class Tests:
    @pytest.fixture
    def patch_my_glob_var(self):
        with mock.patch(f'{__name__}.MY_GLOB_VAR', True):
            yield

    @pytest.fixture(scope='function')
    def my_fixture(self):
        print('MY_GLOB_VAR is', MY_GLOB_VAR)
        yield

    def test_1(self, my_fixture):
        assert MY_GLOB_VAR is False

    def test_2(self, patch_my_glob_var, my_fixture):
        assert MY_GLOB_VAR is True",[15]
StackOverflow,35,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"MY_GLOB_VAR = False

class Tests:
    @pytest.fixture
    def patch_my_glob_var(self):
        with mock.patch(f'{__name__}.MY_GLOB_VAR', True):
            yield

    @pytest.fixture(scope='function')
    def my_fixture(self):
        print('MY_GLOB_VAR is', MY_GLOB_VAR)
        yield

    def test_1(self, my_fixture):
        assert MY_GLOB_VAR is False

    def test_2(self, patch_my_glob_var, my_fixture):
        assert MY_GLOB_VAR is True",[18]
StackOverflow,38,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"from threading import Thread, get_ident, current_thread

def test_threading():
    threads = []
    names = []
    ids = []

    def append_id():
        # time.sleep(1)
        ids.append(get_ident())
        names.append(current_thread().name)

    for i in range(5):
        thread = Thread(target=append_id, name=f'Thread {i}')
        threads.append(thread)
        thread.start()

    for thread in threads:
        thread.join()

    assert len(set(names)) == 5
    print(f'Names: {names}')
    print(f'Ids: {set(ids)}')",[21]
StackOverflow,41,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"y = [{'a': 'b', 'c': 'd'}]
assert dict(y) == {'a': 'c'}",[2]
StackOverflow,42,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import numpy as np
from scipy.sparse import csr_array, coo_array

# If you're able to start in COO format instead of CSR format, it will make the code below simpler
A = csr_array([
    [1, 2, 0],
    [0, 0, 3],
    [4, 0, 5],
    [4, 0, 5],
    [1, 1, 6],
])
B = csr_array([
    [2, 0, 0, 8],
    [0, 0, 3, 2],
    [6, 0, 0, 4],
])
m, n = A.shape
n, p = B.shape

# first min argument based on A
a_coo = A.tocoo(copy=False)
a_row_idx = ((a_coo.col + a_coo.row*(n*p))[None, :] + np.arange(0, n*p, n)[:, None]).ravel()
a_min = coo_array((
    np.broadcast_to(A.data, (p, A.size)).ravel(),  # data: row-major repeat
    (
        a_row_idx,                 # row indices
        np.zeros_like(a_row_idx),  # column indices
    ),
), shape=(m*n*p, 2))

# test; deleteme
a_min_dense = np.zeros((m*n*p, 2), dtype=int)
a_min_dense[:, 0] = np.repeat(A.toarray(), p, axis=0).ravel()
assert np.allclose(a_min_dense, a_min.toarray())

# second min argument based on B
b_coo = B.tocoo(copy=False)
b_row_idx = ((b_coo.row + b_coo.col*n)[None, :] + np.arange(0, m*n*p, n*p)[:, None]).ravel()
b_min = coo_array((
    np.broadcast_to(B.data, (m, B.size)).ravel(),  # data: row-major repeat
    (
        b_row_idx,                # row indices
        np.ones_like(b_row_idx),  # column indices
    ),
), shape=(m*n*p, 2))

# test; deleteme
b_min_dense = np.zeros((m*n*p, 2), dtype=int)
b_min_dense[:, 1] = np.tile(B.T.toarray().ravel(), (1, m)).ravel()
assert np.allclose(b_min_dense, b_min.toarray())

# Alternative to this: use two one-dimensional columns and hstack
ab = (a_min + b_min).min(axis=1)
addend = ab.reshape((-1, n))

# scipy sparse summation input is sparse, but output is NOT SPARSE. It's an np.matrix.
# If that matters, you need to run a more complex operation on 'ab' that manipulates indices.
# deleteme
total = addend.sum(axis=1).reshape((m, p))

# Example true sparse sum
separators = np.insert(
    np.nonzero(np.diff(addend.row))[0] + 1,
    0, 0,
)
sparse_total = coo_array((
    np.add.reduceat(addend.data, separators),
    (
        addend.row[separators],
        np.zeros_like(separators),
    )
), shape=(m*p, 1)).reshape((m, p))

# test; deleteme
ab_dense = (a_min_dense + b_min_dense).min(axis=1)
sum_dense = ab_dense.reshape((-1, n)).sum(axis=1).reshape((m, p))
assert np.allclose(ab.toarray().ravel(), ab_dense)
assert np.allclose(sum_dense, total)
assert np.allclose(sum_dense, sparse_total.toarray())

print(sum_dense)",[34]
StackOverflow,42,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import numpy as np
from scipy.sparse import csr_array, coo_array

# If you're able to start in COO format instead of CSR format, it will make the code below simpler
A = csr_array([
    [1, 2, 0],
    [0, 0, 3],
    [4, 0, 5],
    [4, 0, 5],
    [1, 1, 6],
])
B = csr_array([
    [2, 0, 0, 8],
    [0, 0, 3, 2],
    [6, 0, 0, 4],
])
m, n = A.shape
n, p = B.shape

# first min argument based on A
a_coo = A.tocoo(copy=False)
a_row_idx = ((a_coo.col + a_coo.row*(n*p))[None, :] + np.arange(0, n*p, n)[:, None]).ravel()
a_min = coo_array((
    np.broadcast_to(A.data, (p, A.size)).ravel(),  # data: row-major repeat
    (
        a_row_idx,                 # row indices
        np.zeros_like(a_row_idx),  # column indices
    ),
), shape=(m*n*p, 2))

# test; deleteme
a_min_dense = np.zeros((m*n*p, 2), dtype=int)
a_min_dense[:, 0] = np.repeat(A.toarray(), p, axis=0).ravel()
assert np.allclose(a_min_dense, a_min.toarray())

# second min argument based on B
b_coo = B.tocoo(copy=False)
b_row_idx = ((b_coo.row + b_coo.col*n)[None, :] + np.arange(0, m*n*p, n*p)[:, None]).ravel()
b_min = coo_array((
    np.broadcast_to(B.data, (m, B.size)).ravel(),  # data: row-major repeat
    (
        b_row_idx,                # row indices
        np.ones_like(b_row_idx),  # column indices
    ),
), shape=(m*n*p, 2))

# test; deleteme
b_min_dense = np.zeros((m*n*p, 2), dtype=int)
b_min_dense[:, 1] = np.tile(B.T.toarray().ravel(), (1, m)).ravel()
assert np.allclose(b_min_dense, b_min.toarray())

# Alternative to this: use two one-dimensional columns and hstack
ab = (a_min + b_min).min(axis=1)
addend = ab.reshape((-1, n))

# scipy sparse summation input is sparse, but output is NOT SPARSE. It's an np.matrix.
# If that matters, you need to run a more complex operation on 'ab' that manipulates indices.
# deleteme
total = addend.sum(axis=1).reshape((m, p))

# Example true sparse sum
separators = np.insert(
    np.nonzero(np.diff(addend.row))[0] + 1,
    0, 0,
)
sparse_total = coo_array((
    np.add.reduceat(addend.data, separators),
    (
        addend.row[separators],
        np.zeros_like(separators),
    )
), shape=(m*p, 1)).reshape((m, p))

# test; deleteme
ab_dense = (a_min_dense + b_min_dense).min(axis=1)
sum_dense = ab_dense.reshape((-1, n)).sum(axis=1).reshape((m, p))
assert np.allclose(ab.toarray().ravel(), ab_dense)
assert np.allclose(sum_dense, total)
assert np.allclose(sum_dense, sparse_total.toarray())

print(sum_dense)",[50]
StackOverflow,42,B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,"import numpy as np
from scipy.sparse import csr_array, coo_array

# If you're able to start in COO format instead of CSR format, it will make the code below simpler
A = csr_array([
    [1, 2, 0],
    [0, 0, 3],
    [4, 0, 5],
    [4, 0, 5],
    [1, 1, 6],
])
B = csr_array([
    [2, 0, 0, 8],
    [0, 0, 3, 2],
    [6, 0, 0, 4],
])
m, n = A.shape
n, p = B.shape

# first min argument based on A
a_coo = A.tocoo(copy=False)
a_row_idx = ((a_coo.col + a_coo.row*(n*p))[None, :] + np.arange(0, n*p, n)[:, None]).ravel()
a_min = coo_array((
    np.broadcast_to(A.data, (p, A.size)).ravel(),  # data: row-major repeat
    (
        a_row_idx,                 # row indices
        np.zeros_like(a_row_idx),  # column indices
    ),
), shape=(m*n*p, 2))

# test; deleteme
a_min_dense = np.zeros((m*n*p, 2), dtype=int)
a_min_dense[:, 0] = np.repeat(A.toarray(), p, axis=0).ravel()
assert np.allclose(a_min_dense, a_min.toarray())

# second min argument based on B
b_coo = B.tocoo(copy=False)
b_row_idx = ((b_coo.row + b_coo.col*n)[None, :] + np.arange(0, m*n*p, n*p)[:, None]).ravel()
b_min = coo_array((
    np.broadcast_to(B.data, (m, B.size)).ravel(),  # data: row-major repeat
    (
        b_row_idx,                # row indices
        np.ones_like(b_row_idx),  # column indices
    ),
), shape=(m*n*p, 2))

# test; deleteme
b_min_dense = np.zeros((m*n*p, 2), dtype=int)
b_min_dense[:, 1] = np.tile(B.T.toarray().ravel(), (1, m)).ravel()
assert np.allclose(b_min_dense, b_min.toarray())

# Alternative to this: use two one-dimensional columns and hstack
ab = (a_min + b_min).min(axis=1)
addend = ab.reshape((-1, n))

# scipy sparse summation input is sparse, but output is NOT SPARSE. It's an np.matrix.
# If that matters, you need to run a more complex operation on 'ab' that manipulates indices.
# deleteme
total = addend.sum(axis=1).reshape((m, p))

# Example true sparse sum
separators = np.insert(
    np.nonzero(np.diff(addend.row))[0] + 1,
    0, 0,
)
sparse_total = coo_array((
    np.add.reduceat(addend.data, separators),
    (
        addend.row[separators],
        np.zeros_like(separators),
    )
), shape=(m*p, 1)).reshape((m, p))

# test; deleteme
ab_dense = (a_min_dense + b_min_dense).min(axis=1)
sum_dense = ab_dense.reshape((-1, n)).sum(axis=1).reshape((m, p))
assert np.allclose(ab.toarray().ravel(), ab_dense)
assert np.allclose(sum_dense, total)
assert np.allclose(sum_dense, sparse_total.toarray())

print(sum_dense)",[77]
